Day09 MLP / ReLU 非线性分类对比
============================================
真实任务：XOR 风格二维二分类
Linear baseline final accuracy：0.575
MLP + ReLU final accuracy：1.000

Linear baseline 训练日志
====================================
optimizer：Adam
learning_rate：0.003
epochs：200

epoch | avg_loss | accuracy
  150 |  0.70465 |    0.310
  151 |  0.70083 |    0.260
  152 |  0.71523 |    0.385
  153 |  0.70655 |    0.345
  154 |  0.71928 |    0.370
  155 |  0.73213 |    0.485
  156 |  0.71044 |    0.505
  157 |  0.71393 |    0.500
  158 |  0.70887 |    0.500
  159 |  0.71298 |    0.500
  160 |  0.70428 |    0.250
  161 |  0.70783 |    0.500
  162 |  0.71848 |    0.295
  163 |  0.70580 |    0.605
  164 |  0.71000 |    0.465
  165 |  0.70393 |    0.250
  166 |  0.71234 |    0.640
  167 |  0.70651 |    0.495
  168 |  0.71208 |    0.550
  169 |  0.71572 |    0.445
  170 |  0.71025 |    0.675
  171 |  0.70472 |    0.695
  172 |  0.72304 |    0.415
  173 |  0.72871 |    0.490
  174 |  0.73109 |    0.460
  175 |  0.72485 |    0.485
  176 |  0.72440 |    0.500
  177 |  0.70015 |    0.495
  178 |  0.71198 |    0.500
  179 |  0.70355 |    0.500
  180 |  0.70457 |    0.695
  181 |  0.70607 |    0.390
  182 |  0.71055 |    0.705
  183 |  0.70619 |    0.735
  184 |  0.70261 |    0.500
  185 |  0.72579 |    0.580
  186 |  0.72023 |    0.395
  187 |  0.70389 |    0.650
  188 |  0.70661 |    0.595
  189 |  0.71154 |    0.665
  190 |  0.70996 |    0.555
  191 |  0.70667 |    0.505
  192 |  0.70807 |    0.715
  193 |  0.72815 |    0.500
  194 |  0.69685 |    0.740
  195 |  0.71879 |    0.695
  196 |  0.69751 |    0.520
  197 |  0.70723 |    0.750
  198 |  0.72075 |    0.635
  199 |  0.71428 |    0.500
  200 |  0.70356 |    0.575

Linear baseline 样本预测：
sample 0: true=same_sign, logits=[-0.45920372009277344, -0.40194767713546753], probs=[0.4857, 0.5143], pred=different_sign
sample 50: true=same_sign, logits=[0.29823780059814453, 0.05578984320163727], probs=[0.5603, 0.4397], pred=same_sign
sample 100: true=different_sign, logits=[-0.12560956180095673, -0.582520604133606], probs=[0.6123, 0.3877], pred=same_sign
sample 150: true=different_sign, logits=[-0.004793986678123474, 0.1459130495786667], probs=[0.4624, 0.5376], pred=different_sign
sample 25: true=same_sign, logits=[-0.3282376527786255, -0.2979961335659027], probs=[0.4924, 0.5076], pred=different_sign
sample 125: true=different_sign, logits=[-0.1638118177652359, -0.48662328720092773], probs=[0.58, 0.42], pred=same_sign

MLP + ReLU 训练日志
====================================
optimizer：Adam
learning_rate：0.03
epochs：200

epoch | avg_loss | accuracy
    1 |  0.18249 |    1.000
    2 |  0.00316 |    1.000
    3 |  0.00032 |    1.000
    4 |  0.00023 |    1.000
    5 |  0.00013 |    1.000
    6 |  0.00011 |    1.000
    7 |  0.00010 |    1.000
    8 |  0.00009 |    1.000
    9 |  0.00009 |    1.000
   10 |  0.00008 |    1.000
   11 |  0.00008 |    1.000
   12 |  0.00007 |    1.000
   13 |  0.00008 |    1.000
   14 |  0.00007 |    1.000
   15 |  0.00006 |    1.000
   16 |  0.00006 |    1.000
   17 |  0.00005 |    1.000
   18 |  0.00005 |    1.000
   19 |  0.00005 |    1.000
   20 |  0.00005 |    1.000
   21 |  0.00005 |    1.000
   22 |  0.00004 |    1.000
   23 |  0.00005 |    1.000
   24 |  0.00004 |    1.000
   25 |  0.00004 |    1.000
   26 |  0.00004 |    1.000
   27 |  0.00004 |    1.000
   28 |  0.00003 |    1.000
   29 |  0.00003 |    1.000
   30 |  0.00003 |    1.000
   31 |  0.00003 |    1.000
   32 |  0.00003 |    1.000
   33 |  0.00003 |    1.000
   34 |  0.00003 |    1.000
   35 |  0.00003 |    1.000
   36 |  0.00003 |    1.000
   37 |  0.00003 |    1.000
   38 |  0.00003 |    1.000
   39 |  0.00002 |    1.000
   40 |  0.00002 |    1.000
   41 |  0.00002 |    1.000
   42 |  0.00002 |    1.000
   43 |  0.00002 |    1.000
   44 |  0.00002 |    1.000
   45 |  0.00002 |    1.000
   46 |  0.00002 |    1.000
   47 |  0.00002 |    1.000
   48 |  0.00002 |    1.000
   49 |  0.00002 |    1.000
   50 |  0.00002 |    1.000
   51 |  0.00002 |    1.000
   52 |  0.00002 |    1.000
   53 |  0.00002 |    1.000
   54 |  0.00002 |    1.000
   55 |  0.00002 |    1.000
   56 |  0.00002 |    1.000
   57 |  0.00002 |    1.000
   58 |  0.00002 |    1.000
   59 |  0.00001 |    1.000
   60 |  0.00001 |    1.000
   61 |  0.00001 |    1.000
   62 |  0.00001 |    1.000
   63 |  0.00001 |    1.000
   64 |  0.00001 |    1.000
   65 |  0.00001 |    1.000
   66 |  0.00001 |    1.000
   67 |  0.00001 |    1.000
   68 |  0.00001 |    1.000
   69 |  0.00001 |    1.000
   70 |  0.00001 |    1.000
   71 |  0.00001 |    1.000
   72 |  0.00001 |    1.000
   73 |  0.00001 |    1.000
   74 |  0.00001 |    1.000
   75 |  0.00001 |    1.000
   76 |  0.00001 |    1.000
   77 |  0.00001 |    1.000
   78 |  0.00001 |    1.000
   79 |  0.00001 |    1.000
   80 |  0.00001 |    1.000
   81 |  0.00001 |    1.000
   82 |  0.00001 |    1.000
   83 |  0.00001 |    1.000
   84 |  0.00001 |    1.000
   85 |  0.00001 |    1.000
   86 |  0.00001 |    1.000
   87 |  0.00001 |    1.000
   88 |  0.00001 |    1.000
   89 |  0.00001 |    1.000
   90 |  0.00001 |    1.000
   91 |  0.00001 |    1.000
   92 |  0.00001 |    1.000
   93 |  0.00001 |    1.000
   94 |  0.00001 |    1.000
   95 |  0.00001 |    1.000
   96 |  0.00001 |    1.000
   97 |  0.00001 |    1.000
   98 |  0.00001 |    1.000
   99 |  0.00001 |    1.000
  100 |  0.00001 |    1.000
  101 |  0.00001 |    1.000
  102 |  0.00001 |    1.000
  103 |  0.00001 |    1.000
  104 |  0.00001 |    1.000
  105 |  0.00001 |    1.000
  106 |  0.00001 |    1.000
  107 |  0.00001 |    1.000
  108 |  0.00001 |    1.000
  109 |  0.00001 |    1.000
  110 |  0.00001 |    1.000
  111 |  0.00001 |    1.000
  112 |  0.00000 |    1.000
  113 |  0.00000 |    1.000
  114 |  0.00000 |    1.000
  115 |  0.00000 |    1.000
  116 |  0.00000 |    1.000
  117 |  0.00000 |    1.000
  118 |  0.00000 |    1.000
  119 |  0.00000 |    1.000
  120 |  0.00000 |    1.000
  121 |  0.00000 |    1.000
  122 |  0.00000 |    1.000
  123 |  0.00000 |    1.000
  124 |  0.00000 |    1.000
  125 |  0.00000 |    1.000
  126 |  0.00000 |    1.000
  127 |  0.00000 |    1.000
  128 |  0.00000 |    1.000
  129 |  0.00000 |    1.000
  130 |  0.00000 |    1.000
  131 |  0.00000 |    1.000
  132 |  0.00000 |    1.000
  133 |  0.00000 |    1.000
  134 |  0.00000 |    1.000
  135 |  0.00000 |    1.000
  136 |  0.00000 |    1.000
  137 |  0.00000 |    1.000
  138 |  0.00000 |    1.000
  139 |  0.00000 |    1.000
  140 |  0.00000 |    1.000
  141 |  0.00000 |    1.000
  142 |  0.00000 |    1.000
  143 |  0.00000 |    1.000
  144 |  0.00000 |    1.000
  145 |  0.00000 |    1.000
  146 |  0.00000 |    1.000
  147 |  0.00000 |    1.000
  148 |  0.00000 |    1.000
  149 |  0.00000 |    1.000
  150 |  0.00000 |    1.000
  151 |  0.00000 |    1.000
  152 |  0.00000 |    1.000
  153 |  0.00000 |    1.000
  154 |  0.00000 |    1.000
  155 |  0.00000 |    1.000
  156 |  0.00000 |    1.000
  157 |  0.00000 |    1.000
  158 |  0.00000 |    1.000
  159 |  0.00000 |    1.000
  160 |  0.00000 |    1.000
  161 |  0.00000 |    1.000
  162 |  0.00000 |    1.000
  163 |  0.00000 |    1.000
  164 |  0.00000 |    1.000
  165 |  0.00000 |    1.000
  166 |  0.00000 |    1.000
  167 |  0.00000 |    1.000
  168 |  0.00000 |    1.000
  169 |  0.00000 |    1.000
  170 |  0.00000 |    1.000
  171 |  0.00000 |    1.000
  172 |  0.00000 |    1.000
  173 |  0.00000 |    1.000
  174 |  0.00000 |    1.000
  175 |  0.00000 |    1.000
  176 |  0.00000 |    1.000
  177 |  0.00000 |    1.000
  178 |  0.00000 |    1.000
  179 |  0.00000 |    1.000
  180 |  0.00000 |    1.000
  181 |  0.00000 |    1.000
  182 |  0.00000 |    1.000
  183 |  0.00000 |    1.000
  184 |  0.00000 |    1.000
  185 |  0.00000 |    1.000
  186 |  0.00000 |    1.000
  187 |  0.00000 |    1.000
  188 |  0.00000 |    1.000
  189 |  0.00000 |    1.000
  190 |  0.00000 |    1.000
  191 |  0.00000 |    1.000
  192 |  0.00000 |    1.000
  193 |  0.00000 |    1.000
  194 |  0.00000 |    1.000
  195 |  0.00000 |    1.000
  196 |  0.00000 |    1.000
  197 |  0.00000 |    1.000
  198 |  0.00000 |    1.000
  199 |  0.00000 |    1.000
  200 |  0.00000 |    1.000

MLP + ReLU 样本预测：
sample 0: true=same_sign, logits=[17.182636260986328, -14.393686294555664], probs=[1.0, 0.0], pred=same_sign
sample 50: true=same_sign, logits=[14.54779052734375, -12.561629295349121], probs=[1.0, 0.0], pred=same_sign
sample 100: true=different_sign, logits=[-14.330451011657715, 12.609663963317871], probs=[0.0, 1.0], pred=different_sign
sample 150: true=different_sign, logits=[-11.655341148376465, 12.456583023071289], probs=[0.0, 1.0], pred=different_sign
sample 25: true=same_sign, logits=[10.673771858215332, -8.760458946228027], probs=[1.0, 0.0], pred=same_sign
sample 125: true=different_sign, logits=[-8.922000885009766, 7.7576751708984375], probs=[0.0, 1.0], pred=different_sign

Linear 可视化：D:\1AIGC_daily_practice\day09_torch_mlp_relu\outputs\linear_boundary.png
MLP 可视化：D:\1AIGC_daily_practice\day09_torch_mlp_relu\outputs\mlp_boundary.png
